Hospital,N,LOS_Rate,Pred_Rate,Accuracy,DI_RACE,N_Race_Groups,Majority_Race_Pct
102,1931,0.49456240290005177,0.4857586742620404,0.8575867426204039,0.7833450952717008,4,0.7338166752977732
105,930,0.7290322580645161,0.7204301075268817,0.9096774193548387,0.9092741935483871,4,0.7333333333333333
112,169,0.5266272189349113,0.5443786982248521,0.8875739644970414,0.8996683250414592,2,0.7928994082840237
1000,1756,0.4293849658314351,0.41002277904328016,0.8587699316628702,0.8263677811550152,3,0.642369020501139
2001,1001,0.41858141858141856,0.3886113886113886,0.8441558441558441,0.7756378600823045,3,0.6743256743256744
6000,151,0.3509933774834437,0.3443708609271523,0.9271523178807947,0.5352941176470588,2,0.7748344370860927
7000,1820,0.1934065934065934,0.17197802197802198,0.9082417582417582,0.7581225055249531,4,0.5170329670329671
15001,558,0.48566308243727596,0.4229390681003584,0.8727598566308243,0.6246593701139156,3,0.42473118279569894
19000,549,0.5865209471766849,0.5737704918032787,0.8524590163934426,0.7645038857762517,2,0.9162112932604736
20000,243,0.3168724279835391,0.3292181069958848,0.8806584362139918,0.17735849056603775,3,0.5802469135802469
27000,953,0.453305351521511,0.4323189926547744,0.8740818467995802,0.6271626297577855,4,0.7261280167890871
29000,1503,0.4231536926147705,0.4138389886892881,0.8855622089155023,0.3653806478233959,3,0.7312042581503659
30000,173,0.6011560693641619,0.6936416184971098,0.791907514450867,0.8148148148148148,3,0.5606936416184971
34000,224,0.29464285714285715,0.32142857142857145,0.875,1.0,1,0.9955357142857143
35000,1005,0.5442786069651742,0.5213930348258706,0.8676616915422886,0.7871781756180734,3,0.5412935323383085
38001,108,0.4351851851851852,0.39814814814814814,0.8518518518518519,0.7972027972027972,2,0.7037037037037037
40000,1118,0.3550983899821109,0.30590339892665475,0.8756708407871199,0.8514823261117446,3,0.7844364937388193
42000,690,0.32608695652173914,0.32318840579710145,0.8840579710144928,0.4206081081081081,4,0.6289855072463768
47000,731,0.5362517099863201,0.5321477428180574,0.8673050615595075,0.3216783216783217,3,0.9179206566347469
56000,526,0.4790874524714829,0.46577946768060835,0.8916349809885932,1.0,1,1.0
58000,335,0.573134328358209,0.5791044776119403,0.8865671641791045,0.63229078613694,2,0.8119402985074626
61000,150,0.5133333333333333,0.5266666666666666,0.88,0.7842857142857144,2,0.8133333333333334
63000,174,0.3103448275862069,0.28735632183908044,0.896551724137931,1.0,1,1.0
64000,762,0.431758530183727,0.4225721784776903,0.8595800524934383,0.6364029399048854,3,0.5984251968503937
71000,610,0.2360655737704918,0.2081967213114754,0.8967213114754098,0.48823529411764705,3,0.6622950819672131
76000,982,0.48370672097759676,0.5091649694501018,0.8625254582484725,0.5273790536948432,3,0.8075356415478615
81001,525,0.4895238095238095,0.46476190476190476,0.8647619047619047,0.8035227220193241,3,0.4247619047619048
85000,355,0.6028169014084507,0.6253521126760564,0.8816901408450705,0.5454545454545455,3,0.8112676056338028
91001,688,0.4055232558139535,0.40406976744186046,0.8851744186046512,0.9940988029000167,2,0.9578488372093024
95002,713,0.5007012622720898,0.5161290322580645,0.8611500701262272,0.9565217391304348,3,0.8555399719495091
95003,110,0.045454545454545456,0.03636363636363636,0.9727272727272728,0.0,2,0.7818181818181819
108000,106,0.5849056603773585,0.6320754716981132,0.8584905660377359,1.0,1,0.8867924528301887
109000,434,0.4631336405529954,0.4631336405529954,0.9769585253456221,0.8783592644978785,2,0.9308755760368663
114001,1850,0.4664864864864865,0.46324324324324323,0.8551351351351352,0.8611815875317143,3,0.7691891891891892
117000,1733,0.48066935949221,0.4893248701673399,0.9405654933641084,0.7928541829734335,4,0.6624350836699365
118000,3019,0.514408744617423,0.5008280887711163,0.8671745611129513,0.5640202534996857,4,0.574693607154687
119000,999,0.4894894894894895,0.48348348348348347,0.8618618618618619,0.7323943661971832,4,0.5425425425425425
121000,152,0.34210526315789475,0.32894736842105265,0.881578947368421,0.8857808857808858,2,0.75
124000,3194,0.5679398872886663,0.5745147150907952,0.861302442078898,0.82493294045342,4,0.6152160300563556
126000,202,0.32673267326732675,0.29207920792079206,0.8762376237623762,0.6666666666666666,3,0.693069306930693
129000,670,0.5283582089552239,0.5537313432835821,0.8582089552238806,0.7187894073139975,3,0.7776119402985074
130000,1654,0.2968561064087062,0.28234582829504234,0.9177750906892382,0.644808743169399,3,0.6535671100362757
134001,1567,0.34716017868538607,0.3299298021697511,0.8895979578813018,0.8059405940594059,4,0.589661774090619
137000,229,0.4759825327510917,0.4978165938864629,0.8908296943231441,0.6285714285714286,3,0.6244541484716157
140002,427,0.6088992974238876,0.6440281030444965,0.810304449648712,1.0,1,0.990632318501171
141000,202,0.43564356435643564,0.4405940594059406,0.8960396039603961,0.5729166666666666,3,0.6534653465346535
142000,1096,0.49635036496350365,0.5009124087591241,0.8604014598540146,0.6964285714285715,3,0.46806569343065696
143000,785,0.42929936305732486,0.4484076433121019,0.9273885350318471,0.8154866149612209,3,0.7273885350318471
144000,902,0.328159645232816,0.311529933481153,0.8924611973392461,0.6081081081081081,3,0.7117516629711752
145000,988,0.5293522267206477,0.5010121457489879,0.8522267206477733,0.7914893617021277,3,0.8856275303643725
146000,281,0.3167259786476868,0.28825622775800713,0.8718861209964412,0.298879202988792,3,0.5195729537366548
154000,2549,0.4998038446449588,0.47861906630051,0.8603373872106709,0.928645385111876,3,0.5260886622204786
154001,766,0.6240208877284595,0.6227154046997389,0.8890339425587467,0.9277824978759559,3,0.5326370757180157
154002,663,0.5490196078431373,0.5429864253393665,0.8491704374057315,0.9368484848484849,3,0.5339366515837104
155000,428,0.3364485981308411,0.308411214953271,0.8925233644859814,0.3358024691358025,3,0.5397196261682243
157000,129,0.5503875968992248,0.5968992248062015,0.7829457364341085,0.8301886792452831,3,0.4108527131782946
158000,1734,0.43252595155709345,0.39273356401384085,0.864475201845444,0.6402116402116401,4,0.7318339100346021
168000,737,0.49118046132971505,0.4762550881953867,0.8710990502035278,0.7692737430167598,3,0.7340569877883311
