Model,Attribute,DI,SPD,EOPP,EOD,TI,PP,CAL,N_Fair,Fair_DI
AdaBoost,AGE_GROUP,0.19668799225888794,0.49728790328873224,0.3950109142959385,0.3950109142959385,0.0038654738505108817,0.0588368179289811,0.1941224592504756,2,N
GradientBoosting,RACE,0.6456278569494839,0.17653580529842644,0.06783184453087365,0.06783184453087365,0.004201510712124802,0.09710915365290018,0.17439541640392686,4,N
GradientBoosting,SEX,0.750786352602007,0.12912258835900908,0.044638762481170824,0.05580618947635631,0.0028258989195631135,0.0017159723019285478,0.044254947455794835,5,N
GradientBoosting,ETHNICITY,0.8188926877007198,0.08315040678120761,0.03161998636638852,0.03161998636638852,0.0017862234874464547,0.002914269572741768,0.03182819584946378,7,Y
GradientBoosting,AGE_GROUP,0.2618590047772287,0.45733498625666735,0.24369248397375076,0.24369248397375076,0.011685236100924576,0.06991272519140168,0.0899556666680823,2,N
DecisionTree,RACE,0.6464503372353458,0.1751338578169715,0.09589439686527057,0.09589439686527057,0.012973280071889887,0.0967741195575883,0.19815554559230802,4,N
DecisionTree,SEX,0.7504023869605763,0.12860422014459627,0.04610326577494295,0.06496982414973826,0.005746119377222969,0.004529629173382843,0.04920857657843469,5,N
DecisionTree,ETHNICITY,0.828718372181169,0.07795970899390658,0.030904588712329373,0.030904588712329373,0.00092389858161461,0.013258547074596061,0.059968631993484456,6,Y
DecisionTree,AGE_GROUP,0.281264323986267,0.4356940713843717,0.23398067994310612,0.23398067994310612,0.018207203141755002,0.10377095142449777,0.0777289438072879,1,N
CatBoost,RACE,0.6164440032223278,0.18963342338850325,0.08723638820726198,0.08723638820726198,0.005211833003413768,0.06781529957136534,0.10723042383874581,4,N
CatBoost,SEX,0.7420207040598071,0.1337745055878986,0.05198997575628628,0.06330459224381753,0.002274583450893819,0.00015243812829257575,0.03679973781565049,5,N
CatBoost,ETHNICITY,0.8217789679720079,0.08128535622528338,0.03121566839744838,0.03121566839744838,0.0013818675125109037,0.006077654226687934,0.029601546877168428,7,Y
CatBoost,AGE_GROUP,0.2493731147012314,0.46472067078934964,0.27685639360142855,0.27685639360142855,0.011640599197572148,0.06902081913495717,0.060305180673312475,2,N
DNN (PyTorch),RACE,0.6210352630676753,0.19197760279897091,0.1473995260403027,0.1473995260403027,0.006409225471708767,0.12160298790955915,0.1836528488377619,1,N
DNN (PyTorch),SEX,0.7535977299321389,0.1306582417437938,0.04390050409389923,0.07121390388685023,0.004009862912913165,0.005004179578179557,0.05508539874946958,4,N
DNN (PyTorch),ETHNICITY,0.825059885511433,0.08222909350115731,0.03349298489999908,0.03499741602964511,0.0010297701324081254,0.011579670298280664,0.040990458803239926,7,Y
DNN (PyTorch),AGE_GROUP,0.2894270408903729,0.444341109444234,0.2388353602223705,0.2388353602223705,0.013538472756867564,0.12387927499109197,0.11762157693887368,1,N
Stacking Ensemble,RACE,0.658874469578611,0.17233754291527453,0.045743900112832137,0.045743900112832137,0.006595630177393716,0.09308555617699377,0.30575322373883534,4,N
Stacking Ensemble,SEX,0.7565062807587786,0.12685874565452404,0.039111986222432726,0.05407156669161875,0.0058785010614962815,0.0021040955103475145,0.0937272808900333,4,N
Stacking Ensemble,ETHNICITY,0.8273767513850534,0.07984236403016998,0.02286074380806813,0.03024459824505453,0.003608071069799157,0.002317574524305255,0.08000389634089336,6,Y
Stacking Ensemble,AGE_GROUP,0.280056881482688,0.4455696797593964,0.20361403261456934,0.20361403261456934,0.017997687507278183,0.06562092276269382,0.09511473177939245,2,N
LGB-XGB Blend,RACE,0.651643609221318,0.17644181253938596,0.052772896494517885,0.052772896494517885,0.005139923394007116,0.09463124617987984,0.24526294472929666,4,N
LGB-XGB Blend,SEX,0.7612648534660794,0.12397142186966964,0.03595741321754087,0.04875927675427351,0.004635389313224124,0.004063059943194114,0.026128796572512103,5,N
LGB-XGB Blend,ETHNICITY,0.8302202897277289,0.07848419425002934,0.018896035008931444,0.029225097046877258,0.002518026543995376,0.0010322960963649042,0.033909981132332456,7,Y
LGB-XGB Blend,AGE_GROUP,0.29088367231681644,0.4361322989540718,0.183986206672197,0.183986206672197,0.013830414889243324,0.07034926818358123,0.06522881945865988,2,N
