metric,attribute,min_N_for_cv_under_5pct,full_N_required
DI,RACE,50000,False
SPD,RACE,185026,False
EOPP,RACE,185026,False
EOD,RACE,185026,False
TI,RACE,185026,False
PP,RACE,185026,False
CAL,RACE,185026,False
DI,SEX,2000,False
SPD,SEX,100000,False
EOPP,SEX,185026,False
EOD,SEX,100000,False
TI,SEX,185026,False
PP,SEX,50000,False
CAL,SEX,185026,False
DI,ETHNICITY,2000,False
SPD,ETHNICITY,185026,False
EOPP,ETHNICITY,185026,False
EOD,ETHNICITY,100000,False
TI,ETHNICITY,185026,False
PP,ETHNICITY,100000,False
CAL,ETHNICITY,185026,False
DI,AGE_GROUP,10000,False
SPD,AGE_GROUP,100000,False
EOPP,AGE_GROUP,50000,False
EOD,AGE_GROUP,25000,False
TI,AGE_GROUP,25000,False
PP,AGE_GROUP,10000,False
CAL,AGE_GROUP,185026,False
