metric,attribute,n_pass,n_fail,vfr,verdict_dominant
DI,RACE,295,205,0.41,fair
SPD,RACE,301,199,0.398,fair
EOPP,RACE,163,337,0.326,unfair
EOD,RACE,56,444,0.112,unfair
TI,RACE,500,0,0.0,fair
PP,RACE,4,496,0.008,unfair
CAL,RACE,0,500,0.0,unfair
DI,SEX,500,0,0.0,fair
SPD,SEX,500,0,0.0,fair
EOPP,SEX,500,0,0.0,fair
EOD,SEX,478,22,0.044,fair
TI,SEX,500,0,0.0,fair
PP,SEX,0,500,0.0,unfair
CAL,SEX,29,471,0.058,unfair
DI,ETHNICITY,500,0,0.0,fair
SPD,ETHNICITY,500,0,0.0,fair
EOPP,ETHNICITY,500,0,0.0,fair
EOD,ETHNICITY,500,0,0.0,fair
TI,ETHNICITY,500,0,0.0,fair
PP,ETHNICITY,446,54,0.108,fair
CAL,ETHNICITY,25,475,0.05,unfair
DI,AGE_GROUP,206,294,0.412,unfair
SPD,AGE_GROUP,245,255,0.49,unfair
EOPP,AGE_GROUP,0,500,0.0,unfair
EOD,AGE_GROUP,0,500,0.0,unfair
TI,AGE_GROUP,500,0,0.0,fair
PP,AGE_GROUP,0,500,0.0,unfair
CAL,AGE_GROUP,0,500,0.0,unfair
