metric,attribute,n_pass,n_fail,vfr,verdict_dominant
DI,RACE,262,238,0.476,fair
SPD,RACE,265,235,0.47,fair
EOPP,RACE,187,313,0.374,unfair
EOD,RACE,82,418,0.164,unfair
TI,RACE,500,0,0.0,fair
PP,RACE,14,486,0.028,unfair
CAL,RACE,0,500,0.0,unfair
DI,SEX,500,0,0.0,fair
SPD,SEX,500,0,0.0,fair
EOPP,SEX,500,0,0.0,fair
EOD,SEX,500,0,0.0,fair
TI,SEX,500,0,0.0,fair
PP,SEX,10,490,0.02,unfair
CAL,SEX,29,471,0.058,unfair
DI,ETHNICITY,500,0,0.0,fair
SPD,ETHNICITY,500,0,0.0,fair
EOPP,ETHNICITY,500,0,0.0,fair
EOD,ETHNICITY,500,0,0.0,fair
TI,ETHNICITY,500,0,0.0,fair
PP,ETHNICITY,449,51,0.102,fair
CAL,ETHNICITY,25,475,0.05,unfair
DI,AGE_GROUP,116,384,0.232,unfair
SPD,AGE_GROUP,146,354,0.292,unfair
EOPP,AGE_GROUP,0,500,0.0,unfair
EOD,AGE_GROUP,0,500,0.0,unfair
TI,AGE_GROUP,500,0,0.0,fair
PP,AGE_GROUP,0,500,0.0,unfair
CAL,AGE_GROUP,0,500,0.0,unfair
