metric,attribute,n_pass,n_fail,vfr,verdict_dominant
DI,RACE,6,494,0.012,unfair
SPD,RACE,6,494,0.012,unfair
EOPP,RACE,211,289,0.422,unfair
EOD,RACE,158,342,0.316,unfair
TI,RACE,500,0,0.0,fair
PP,RACE,213,287,0.426,unfair
CAL,RACE,0,500,0.0,unfair
DI,SEX,12,488,0.024,unfair
SPD,SEX,8,492,0.016,unfair
EOPP,SEX,500,0,0.0,fair
EOD,SEX,500,0,0.0,fair
TI,SEX,500,0,0.0,fair
PP,SEX,500,0,0.0,fair
CAL,SEX,0,500,0.0,unfair
DI,ETHNICITY,451,49,0.098,fair
SPD,ETHNICITY,480,20,0.04,fair
EOPP,ETHNICITY,500,0,0.0,fair
EOD,ETHNICITY,500,0,0.0,fair
TI,ETHNICITY,500,0,0.0,fair
PP,ETHNICITY,500,0,0.0,fair
CAL,ETHNICITY,0,500,0.0,unfair
DI,AGE_GROUP,0,500,0.0,unfair
SPD,AGE_GROUP,0,500,0.0,unfair
EOPP,AGE_GROUP,0,500,0.0,unfair
EOD,AGE_GROUP,0,500,0.0,unfair
TI,AGE_GROUP,500,0,0.0,fair
PP,AGE_GROUP,314,186,0.372,fair
CAL,AGE_GROUP,0,500,0.0,unfair
